,filename,time,w_pre,w
238,MOD05_L2.A2014030.1345.061.2017308213354.hdf,20140301345,-9999.0,-9.999000474927016
239,MOD05_L2.A2014030.1525.061.2017308213550.hdf,20140301525,-9999.0,-9.999000474927016
240,MOD05_L2.A2014030.1700.061.2017308213526.hdf,20140301700,-9999.0,-9.999000474927016
241,MOD05_L2.A2014030.1840.061.2017308213406.hdf,20140301840,-9999.0,-9.999000474927016
242,MOD05_L2.A2014030.2015.061.2017308213338.hdf,20140302015,-9999.0,-9.999000474927016
243,MOD05_L2.A2014030.2155.061.2017308213310.hdf,20140302155,-9999.0,-9.999000474927016
244,MOD05_L2.A2014030.2335.061.2017308213127.hdf,20140302335,-9999.0,-9.999000474927016
245,MOD05_L2.A2014031.1115.061.2017308213720.hdf,20140311115,-9999.0,-9.999000474927016
246,MOD05_L2.A2014031.1250.061.2017308213956.hdf,20140311250,-9999.0,-9.999000474927016
247,MOD05_L2.A2014031.1745.061.2017308213810.hdf,20140311745,-9999.0,-9.999000474927016
248,MOD05_L2.A2014031.1920.061.2017308214111.hdf,20140311920,-9999.0,-9.999000474927016
249,MOD05_L2.A2014031.2100.061.2017308214039.hdf,20140312100,-9999.0,-9.999000474927016
250,MOD05_L2.A2014031.2235.061.2017308213830.hdf,20140312235,-9999.0,-9.999000474927016
251,MOD05_L2.A2014032.0015.061.2017308212450.hdf,20140320015,-9999.0,-9.999000474927016
252,MOD05_L2.A2014032.1155.061.2017308212318.hdf,20140321155,-9999.0,-9.999000474927016
253,MOD05_L2.A2014032.1335.061.2017308212331.hdf,20140321335,-9999.0,-9.999000474927016
254,MOD05_L2.A2014032.1515.061.2017308212416.hdf,20140321515,-9999.0,-9.999000474927016
255,MOD05_L2.A2014032.1650.061.2017308212409.hdf,20140321650,-9999.0,-9.999000474927016
256,MOD05_L2.A2014032.1825.061.2017308212131.hdf,20140321825,-9999.0,-9.999000474927016
257,MOD05_L2.A2014032.2005.061.2017308212239.hdf,20140322005,-9999.0,-9.999000474927016
258,MOD05_L2.A2014032.2140.061.2017308212215.hdf,20140322140,-9999.0,-9.999000474927016
259,MOD05_L2.A2014032.2320.061.2017308212100.hdf,20140322320,-9999.0,-9.999000474927016
260,MOD05_L2.A2014033.1240.061.2017308220047.hdf,20140331240,-9999.0,-9.999000474927016
261,MOD05_L2.A2014033.1420.061.2017308220004.hdf,20140331420,-9999.0,-9.999000474927016
262,MOD05_L2.A2014033.1555.061.2017308220132.hdf,20140331555,-9999.0,-9.999000474927016
263,MOD05_L2.A2014033.1735.061.2017308215928.hdf,20140331735,-9999.0,-9.999000474927016
264,MOD05_L2.A2014033.1910.061.2017308215918.hdf,20140331910,-9999.0,-9.999000474927016
265,MOD05_L2.A2014033.2045.061.2017308215848.hdf,20140332045,-9999.0,-9.999000474927016
266,MOD05_L2.A2014033.2225.061.2017308220328.hdf,20140332225,-9999.0,-9.999000474927016
267,MOD05_L2.A2014034.0005.061.2017308224033.hdf,20140340005,-9999.0,-9.999000474927016
268,MOD05_L2.A2014034.1145.061.2017308224245.hdf,20140341145,-9999.0,-9.999000474927016
269,MOD05_L2.A2014034.1325.061.2017308224102.hdf,20140341325,-9999.0,-9.999000474927016
270,MOD05_L2.A2014034.1500.061.2017308224049.hdf,20140341500,-9999.0,-9.999000474927016
